,Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,Total_Usage_Time,Entertainment_Index,Spend_Ratio,Age_Group,Usage per App,Data Usage per Hour,Call Duration per Day (hrs)
25,36,Male,Hyderabad,Vivo,iOS,5.6,47.4,155.4,123,5.9,1886,2.3,3.0,955,Work,16.8,3.733333333333333,1.9728033472803348,Adult,0.04552845528455284,0.28214285714285714,2.5900000000000003
26,15,Male,Delhi,Vivo,Android,9.2,42.7,230.9,180,0.5,4611,1.0,2.5,210,Gaming,13.2,1.3333333333333333,21.85308056872038,Teen,0.05111111111111111,0.15471014492753624,3.8483333333333336
27,41,Other,Jaipur,Realme,Android,8.1,44.1,81.8,25,1.9,5545,5.7,3.7,1488,Education,19.4,3.766666666666667,3.7239758226997983,Adult,0.324,0.1814814814814815,1.3633333333333333
28,51,Female,Kolkata,Vivo,iOS,10.7,45.1,94.0,127,3.5,2293,6.7,5.0,333,Education,25.9,5.066666666666666,6.865269461077844,Middle Aged,0.084251968503937,0.14049844236760126,1.5666666666666667
29,45,Female,Hyderabad,Realme,Android,6.3,34.5,244.3,125,5.0,1647,5.9,0.2,1541,Entertainment,17.400000000000002,3.7000000000000006,1.0680933852140078,Adult,0.0504,0.18253968253968253,4.071666666666667
30,39,Female,Jaipur,Motorola,Android,4.0,9.4,194.2,32,1.5,8314,6.7,3.5,447,Entertainment,15.7,3.9,18.558035714285715,Adult,0.125,0.07833333333333334,3.2366666666666664
31,40,Female,Lucknow,OnePlus,Android,8.4,25.7,262.8,174,1.3,3010,4.9,3.0,419,Education,17.6,3.066666666666667,7.166666666666667,Adult,0.04827586206896552,0.10198412698412698,4.38
32,28,Female,Chennai,Xiaomi,iOS,5.3,16.8,264.9,84,1.3,9222,7.2,3.0,1699,Social Media,16.8,3.8333333333333335,5.424705882352941,Young Adult,0.0630952380952381,0.10566037735849057,4.415
33,23,Female,Chennai,Motorola,Android,11.4,48.4,216.8,98,3.2,5026,2.7,4.9,1079,Gaming,22.200000000000003,3.6,4.6537037037037035,Young Adult,0.1163265306122449,0.1415204678362573,3.6133333333333337
34,57,Male,Delhi,Vivo,iOS,4.1,31.2,61.5,149,5.1,386,3.9,1.0,1935,Social Media,14.1,3.3333333333333335,0.1993801652892562,Middle Aged,0.02751677852348993,0.25365853658536586,1.025
35,23,Female,Ahmedabad,Vivo,iOS,10.7,29.0,9.0,175,2.9,633,6.4,0.0,1345,Social Media,20.0,3.1,0.4702823179791976,Young Adult,0.06114285714285714,0.09034267912772585,0.15
36,56,Other,Kolkata,Nokia,Android,9.4,42.1,246.7,113,4.9,498,0.9,4.3,982,Work,19.5,3.366666666666667,0.5066124109867752,Middle Aged,0.0831858407079646,0.14929078014184397,4.111666666666666
37,20,Other,Chennai,Samsung,iOS,11.9,45.5,195.8,150,4.1,479,5.6,1.7,169,Education,23.3,3.7999999999999994,2.8176470588235296,Young Adult,0.07933333333333334,0.12745098039215685,3.2633333333333336
38,22,Other,Kolkata,Google Pixel,Android,1.6,34.1,6.0,153,5.8,5175,5.7,2.2,805,Work,15.3,4.566666666666666,6.420595533498759,Young Adult,0.010457516339869282,0.7104166666666667,0.1
39,19,Male,Kolkata,Apple,iOS,5.5,2.9,212.5,129,5.6,8514,7.9,0.8,647,Education,19.8,4.766666666666667,13.13888888888889,Young Adult,0.04263565891472868,0.017575757575757574,3.5416666666666665
40,49,Other,Lucknow,Samsung,iOS,5.2,43.4,151.8,114,5.6,3826,6.8,3.1,1192,Social Media,20.700000000000003,5.166666666666667,3.207041072925398,Middle Aged,0.0456140350877193,0.2782051282051282,2.5300000000000002
41,54,Male,Ahmedabad,Vivo,iOS,2.2,22.0,30.8,156,1.8,8307,1.1,3.0,1788,Social Media,8.1,1.9666666666666666,4.643376187814422,Middle Aged,0.014102564102564105,0.3333333333333333,0.5133333333333333
42,40,Male,Bangalore,Vivo,iOS,2.5,10.6,219.1,113,1.8,238,0.9,2.2,1924,Work,7.4,1.6333333333333335,0.12363636363636364,Adult,0.022123893805309734,0.14133333333333334,3.6516666666666664
43,52,Female,Kolkata,Xiaomi,iOS,4.4,33.8,189.3,44,3.8,1869,3.6,2.4,1382,Social Media,14.2,3.266666666666667,1.351409978308026,Middle Aged,0.1,0.25606060606060604,3.1550000000000002
44,42,Other,Mumbai,Google Pixel,iOS,4.2,3.4,171.6,108,3.3,5178,1.3,4.8,322,Education,13.600000000000001,3.133333333333333,16.03095975232198,Adult,0.03888888888888889,0.026984126984126982,2.86
45,23,Other,Hyderabad,Samsung,iOS,4.3,26.4,210.5,53,5.3,1250,7.5,0.6,314,Entertainment,17.700000000000003,4.466666666666666,3.9682539682539684,Young Adult,0.08113207547169811,0.20465116279069767,3.5083333333333333
46,51,Other,Mumbai,Samsung,iOS,10.7,17.6,293.4,65,5.2,3313,1.8,1.3,1319,Education,19.0,2.766666666666667,2.5098484848484848,Middle Aged,0.1646153846153846,0.05482866043613708,4.89
47,19,Male,Bangalore,Realme,iOS,3.1,24.8,82.1,75,3.9,1396,2.0,1.6,1245,Social Media,10.6,2.5,1.1203852327447834,Young Adult,0.04133333333333333,0.26666666666666666,1.3683333333333332
48,52,Other,Delhi,Xiaomi,Android,1.5,41.0,95.5,140,5.5,8029,5.0,0.1,802,Social Media,12.1,3.533333333333333,9.998754669987546,Middle Aged,0.010714285714285714,0.9111111111111111,1.5916666666666666
49,17,Other,Lucknow,Apple,iOS,4.7,30.4,157.7,187,2.6,9189,4.3,4.9,801,Entertainment,16.5,3.933333333333333,11.457605985037407,Teen,0.025133689839572194,0.2156028368794326,2.628333333333333
50,31,Female,Ahmedabad,Nokia,iOS,10.4,41.1,32.5,171,3.5,7702,7.1,0.8,1833,Education,21.8,3.7999999999999994,4.199563794983642,Adult,0.0608187134502924,0.13173076923076923,0.5416666666666666
51,49,Other,Jaipur,OnePlus,Android,8.6,46.0,181.8,154,1.6,4264,7.5,0.4,1142,Social Media,18.099999999999998,3.1666666666666665,3.730533683289589,Middle Aged,0.05584415584415584,0.17829457364341086,3.0300000000000002
52,21,Male,Delhi,Motorola,iOS,9.4,15.4,10.6,34,2.5,3130,2.5,4.8,1882,Education,19.2,3.266666666666667,1.6622411046202867,Young Adult,0.27647058823529413,0.05460992907801419,0.17666666666666667
53,51,Male,Lucknow,OnePlus,iOS,5.4,15.8,115.7,115,3.2,2929,3.0,2.7,1772,Social Media,14.3,2.966666666666667,1.6520022560631697,Middle Aged,0.04695652173913044,0.09753086419753088,1.9283333333333335
54,32,Other,Mumbai,Vivo,iOS,5.8,27.5,30.0,193,4.0,948,5.6,4.6,122,Social Media,20.0,4.733333333333333,7.7073170731707314,Adult,0.03005181347150259,0.15804597701149425,0.5
55,43,Other,Bangalore,Xiaomi,iOS,8.6,14.4,275.5,27,4.7,9544,3.6,3.4,1395,Work,20.3,3.9,6.836676217765043,Adult,0.3185185185185185,0.05581395348837209,4.591666666666667
56,25,Male,Bangalore,OnePlus,Android,5.6,38.0,296.5,40,1.5,799,1.0,2.4,1831,Work,10.5,1.6333333333333335,0.4361353711790393,Young Adult,0.13999999999999999,0.2261904761904762,4.941666666666666
57,16,Female,Pune,Nokia,iOS,9.0,7.1,142.9,164,4.9,6088,2.1,1.9,686,Work,17.9,2.966666666666667,8.861717612809317,Teen,0.054878048780487805,0.026296296296296293,2.381666666666667
58,49,Male,Pune,Motorola,iOS,3.4,17.0,235.4,52,2.8,7018,7.3,4.7,2000,Education,18.2,4.933333333333334,3.5072463768115942,Middle Aged,0.06538461538461539,0.16666666666666666,3.9233333333333333
59,35,Male,Hyderabad,Xiaomi,iOS,3.0,8.3,253.1,18,2.5,9494,3.1,4.6,479,Gaming,13.2,3.4,19.779166666666665,Adult,0.16666666666666666,0.09222222222222223,4.218333333333333
60,49,Male,Pune,Apple,Android,4.5,1.9,54.5,197,4.3,3575,6.7,0.0,679,Entertainment,15.5,3.6666666666666665,5.257352941176471,Middle Aged,0.02284263959390863,0.014074074074074074,0.9083333333333333
61,34,Female,Kolkata,Apple,iOS,3.5,20.6,134.0,73,5.6,2918,3.0,1.0,329,Entertainment,13.1,3.1999999999999997,8.842424242424242,Adult,0.04794520547945205,0.1961904761904762,2.2333333333333334
62,38,Other,Jaipur,Oppo,iOS,1.3,9.0,119.7,36,2.0,5666,4.0,4.1,1605,Education,11.399999999999999,3.3666666666666667,3.528019925280199,Adult,0.036111111111111115,0.23076923076923078,1.995
63,38,Female,Ahmedabad,OnePlus,iOS,3.2,13.2,206.3,31,3.2,3342,4.2,0.3,1005,Work,10.900000000000002,2.566666666666667,3.3220675944333995,Adult,0.1032258064516129,0.13749999999999998,3.4383333333333335
64,41,Female,Delhi,Realme,Android,2.5,9.3,111.0,69,0.6,2918,6.5,1.9,1699,Education,11.5,3.0,1.7164705882352942,Adult,0.036231884057971016,0.12400000000000001,1.85
65,41,Female,Bangalore,Samsung,iOS,8.3,19.4,194.5,25,5.8,9918,5.3,3.5,782,Education,22.900000000000002,4.866666666666667,12.666666666666666,Adult,0.332,0.07791164658634536,3.2416666666666667
66,30,Female,Ahmedabad,Samsung,Android,1.7,10.4,74.0,64,2.5,468,4.9,4.1,1361,Work,13.200000000000001,3.8333333333333335,0.3436123348017621,Young Adult,0.0265625,0.20392156862745098,1.2333333333333334
67,43,Male,Kolkata,Google Pixel,iOS,3.0,24.3,151.7,143,1.1,4443,6.3,0.3,546,Education,10.7,2.5666666666666664,8.122486288848263,Adult,0.02097902097902098,0.27,2.5283333333333333
68,40,Female,Kolkata,Samsung,Android,4.2,28.1,8.9,62,4.1,8932,7.3,0.8,209,Social Media,16.400000000000002,4.066666666666666,42.53333333333333,Adult,0.06774193548387097,0.22301587301587303,0.14833333333333334
69,18,Male,Delhi,Oppo,iOS,5.3,10.4,257.0,116,2.3,4368,7.6,4.2,1359,Gaming,19.4,4.7,3.211764705882353,Teen,0.045689655172413794,0.06540880503144654,4.283333333333333
70,24,Female,Delhi,Apple,iOS,11.2,14.7,241.5,158,1.4,563,2.3,3.5,1845,Work,18.4,2.4,0.3049837486457205,Young Adult,0.07088607594936708,0.04375,4.025
71,51,Female,Lucknow,Oppo,Android,11.9,47.8,21.5,68,4.3,7945,2.3,3.8,1749,Social Media,22.3,3.4666666666666663,4.54,Middle Aged,0.17500000000000002,0.13389355742296918,0.35833333333333334
72,23,Other,Kolkata,Motorola,iOS,5.2,34.6,159.3,140,4.3,5816,7.8,2.8,1406,Gaming,20.1,4.966666666666666,4.1336176261549396,Young Adult,0.037142857142857144,0.2217948717948718,2.6550000000000002
73,43,Other,Kolkata,Realme,Android,6.9,3.0,74.6,117,3.1,1883,5.2,1.8,108,Gaming,17.0,3.3666666666666667,17.275229357798164,Adult,0.05897435897435898,0.014492753623188406,1.2433333333333332
74,31,Male,Ahmedabad,Google Pixel,iOS,6.8,26.2,74.5,150,5.1,1073,1.1,0.8,1393,Work,13.799999999999999,2.3333333333333335,0.7697274031563845,Adult,0.04533333333333333,0.1284313725490196,1.2416666666666667
75,56,Female,Delhi,Oppo,Android,6.1,20.7,23.2,117,1.6,3672,3.2,2.1,430,Gaming,12.999999999999998,2.3000000000000003,8.519721577726218,Middle Aged,0.05213675213675213,0.11311475409836065,0.38666666666666666
76,51,Female,Ahmedabad,Samsung,iOS,9.2,45.9,294.0,129,3.7,5449,1.0,3.8,1222,Entertainment,17.7,2.8333333333333335,4.455437448896157,Middle Aged,0.07131782945736434,0.16630434782608694,4.9
77,19,Other,Kolkata,Motorola,iOS,6.0,42.2,193.0,101,3.1,4606,2.2,3.9,705,Entertainment,15.200000000000001,3.0666666666666664,6.524079320113314,Young Adult,0.0594059405940594,0.23444444444444446,3.216666666666667
78,26,Other,Pune,Xiaomi,iOS,11.1,1.3,51.9,52,0.6,1308,4.7,1.1,1104,Social Media,17.5,2.1333333333333333,1.183710407239819,Young Adult,0.21346153846153845,0.0039039039039039042,0.865
79,28,Male,Chennai,Xiaomi,iOS,5.7,49.5,98.2,190,2.1,8715,7.9,3.2,195,Gaming,18.900000000000002,4.4,44.464285714285715,Young Adult,0.030000000000000002,0.2894736842105263,1.6366666666666667
80,37,Other,Pune,OnePlus,iOS,10.5,33.0,69.0,92,4.0,8284,1.3,4.1,781,Work,19.9,3.133333333333333,10.593350383631714,Adult,0.11413043478260869,0.10476190476190476,1.15
81,42,Other,Lucknow,Google Pixel,Android,1.8,9.2,107.6,19,3.5,4648,3.7,0.6,1691,Education,9.6,2.6,2.7470449172576834,Adult,0.09473684210526316,0.17037037037037037,1.7933333333333332
82,46,Other,Pune,Realme,Android,10.0,30.8,105.6,179,3.9,3003,4.9,2.4,472,Entertainment,21.2,3.733333333333334,6.348837209302325,Middle Aged,0.055865921787709494,0.10266666666666667,1.76
83,52,Male,Jaipur,Samsung,iOS,5.0,46.6,127.1,56,4.6,7151,4.1,2.2,554,Education,15.899999999999999,3.633333333333333,12.884684684684684,Middle Aged,0.08928571428571429,0.3106666666666667,2.118333333333333
84,23,Female,Hyderabad,Samsung,Android,4.5,44.3,298.9,166,2.2,9243,1.2,4.4,1355,Entertainment,12.3,2.6,6.816371681415929,Young Adult,0.02710843373493976,0.32814814814814813,4.9816666666666665
85,25,Female,Hyderabad,Nokia,Android,5.0,26.4,216.9,78,4.0,3751,1.7,4.4,1249,Entertainment,15.1,3.366666666666667,3.0008,Young Adult,0.0641025641025641,0.176,3.615
86,39,Female,Ahmedabad,Nokia,Android,2.4,14.6,9.5,84,1.6,1401,3.6,2.0,1081,Education,9.6,2.4,1.2948243992606285,Adult,0.02857142857142857,0.20277777777777778,0.15833333333333333
87,43,Other,Lucknow,Vivo,iOS,11.4,45.5,215.1,28,1.1,6568,7.4,0.5,505,Social Media,20.4,3.0,12.980237154150197,Adult,0.40714285714285714,0.13304093567251463,3.585
88,39,Male,Jaipur,Samsung,Android,8.8,40.8,237.2,190,2.8,5779,6.6,1.3,1767,Social Media,19.500000000000004,3.5666666666666664,3.2686651583710407,Adult,0.04631578947368421,0.15454545454545454,3.953333333333333
89,38,Male,Lucknow,Oppo,Android,1.8,49.9,87.3,95,5.2,5891,6.4,0.1,1401,Gaming,13.5,3.9,4.2018544935805995,Adult,0.018947368421052633,0.924074074074074,1.4549999999999998
90,46,Other,Lucknow,Motorola,Android,6.7,15.8,120.9,187,1.2,2427,6.4,2.5,1186,Gaming,16.8,3.3666666666666667,2.0446503791069923,Middle Aged,0.03582887700534759,0.07860696517412935,2.015
91,33,Male,Jaipur,Vivo,Android,10.9,38.0,273.4,198,3.0,305,5.1,2.7,324,Education,21.7,3.6,0.9384615384615385,Adult,0.05505050505050505,0.1162079510703364,4.556666666666667
92,51,Other,Delhi,Nokia,Android,10.5,28.4,182.7,86,1.2,1305,7.1,1.7,1479,Gaming,20.499999999999996,3.3333333333333326,0.8817567567567568,Middle Aged,0.12209302325581395,0.09015873015873016,3.045
93,57,Other,Pune,Nokia,iOS,10.8,39.2,28.6,126,4.0,526,4.7,1.2,1610,Entertainment,20.7,3.3000000000000003,0.3265052762259466,Middle Aged,0.08571428571428572,0.12098765432098767,0.4766666666666667
94,59,Male,Pune,Google Pixel,Android,2.3,11.6,52.3,136,2.9,6699,1.5,4.2,1239,Entertainment,10.899999999999999,2.8666666666666667,5.40241935483871,Middle Aged,0.016911764705882352,0.1681159420289855,0.8716666666666666
95,21,Other,Kolkata,Vivo,Android,7.2,29.6,180.6,88,1.4,9995,1.1,0.4,1727,Gaming,10.1,0.9666666666666667,5.784143518518518,Young Adult,0.08181818181818182,0.13703703703703704,3.01
96,17,Other,Hyderabad,Motorola,Android,11.8,35.2,111.2,140,0.7,856,7.0,2.0,1474,Entertainment,21.5,3.233333333333333,0.5803389830508474,Teen,0.0842857142857143,0.09943502824858758,1.8533333333333333
97,22,Male,Mumbai,Google Pixel,Android,8.0,12.9,82.9,113,3.9,2936,4.7,0.0,443,Work,16.6,2.8666666666666667,6.612612612612613,Young Adult,0.07079646017699115,0.05375,1.3816666666666668
98,25,Male,Bangalore,Apple,iOS,1.5,25.9,24.3,62,4.5,9363,7.5,0.2,809,Entertainment,13.7,4.066666666666666,11.559259259259258,Young Adult,0.024193548387096774,0.5755555555555555,0.405
99,29,Female,Kolkata,Motorola,Android,7.8,42.5,71.6,17,4.2,1972,3.7,3.3,990,Social Media,19.0,3.733333333333333,1.9899091826437942,Young Adult,0.4588235294117647,0.18162393162393162,1.1933333333333331
100,31,Female,Pune,Apple,iOS,10.9,41.1,273.4,157,4.2,9043,2.8,3.4,431,Education,21.3,3.4666666666666663,20.93287037037037,Adult,0.06942675159235669,0.12568807339449542,4.556666666666667
101,39,Male,Pune,Apple,Android,8.4,46.3,175.6,180,5.6,3881,7.0,0.1,1254,Social Media,21.1,4.233333333333333,3.092430278884462,Adult,0.04666666666666667,0.18373015873015872,2.9266666666666667
102,15,Other,Mumbai,Realme,iOS,10.5,39.3,77.1,137,2.2,8230,3.1,3.1,687,Work,18.9,2.8000000000000003,11.962209302325581,Teen,0.07664233576642336,0.12476190476190475,1.285
103,21,Male,Delhi,Apple,Android,3.6,5.5,30.6,200,4.5,5214,7.7,3.8,1129,Entertainment,19.6,5.333333333333333,4.614159292035398,Young Adult,0.018000000000000002,0.05092592592592592,0.51
104,56,Male,Hyderabad,Motorola,iOS,11.6,31.6,123.1,150,2.0,7124,6.7,3.4,1037,Entertainment,23.7,4.033333333333333,6.863198458574181,Middle Aged,0.07733333333333334,0.09080459770114943,2.0516666666666667
105,29,Female,Jaipur,Xiaomi,iOS,4.8,8.4,253.0,62,5.9,1373,1.4,0.8,1216,Gaming,12.9,2.7000000000000006,1.1281840591618735,Young Adult,0.07741935483870968,0.058333333333333334,4.216666666666667
106,58,Female,Chennai,Xiaomi,Android,7.9,7.9,18.5,34,1.0,1875,3.5,0.4,1983,Social Media,12.8,1.6333333333333335,0.9450604838709677,Middle Aged,0.2323529411764706,0.03333333333333333,0.30833333333333335
107,40,Other,Chennai,Xiaomi,Android,5.5,42.8,50.0,142,3.6,8911,4.4,3.7,1226,Work,17.2,3.9000000000000004,7.262428687856561,Adult,0.03873239436619718,0.2593939393939394,0.8333333333333334
108,38,Other,Hyderabad,Realme,iOS,4.5,20.9,62.8,198,0.5,5339,0.6,3.3,767,Social Media,8.899999999999999,1.4666666666666668,6.951822916666667,Adult,0.022727272727272728,0.1548148148148148,1.0466666666666666
109,32,Other,Delhi,OnePlus,Android,9.2,43.4,281.8,55,3.5,3082,4.6,3.9,1338,Work,21.199999999999996,4.0,2.3017176997759523,Adult,0.16727272727272727,0.1572463768115942,4.696666666666667
110,28,Female,Hyderabad,Samsung,Android,9.3,48.8,107.2,190,1.4,1623,7.6,2.9,1839,Education,21.2,3.966666666666667,0.8820652173913044,Young Adult,0.048947368421052635,0.17491039426523297,1.7866666666666666
111,57,Male,Jaipur,Nokia,Android,9.6,49.4,257.1,47,2.7,5899,6.0,2.5,414,Gaming,20.8,3.733333333333333,14.214457831325301,Middle Aged,0.20425531914893616,0.17152777777777778,4.285
112,43,Female,Jaipur,Oppo,iOS,1.2,20.5,244.1,13,3.0,4570,5.3,3.2,206,Social Media,12.7,3.8333333333333335,22.07729468599034,Adult,0.0923076923076923,0.5694444444444444,4.068333333333333
113,54,Other,Hyderabad,Google Pixel,Android,8.0,24.5,85.7,163,1.5,2640,3.8,1.1,1580,Social Media,14.4,2.1333333333333333,1.6698292220113853,Middle Aged,0.049079754601226995,0.10208333333333333,1.4283333333333335
114,15,Other,Pune,Oppo,iOS,8.5,18.6,118.8,30,5.8,7615,6.8,2.5,448,Education,23.6,5.033333333333334,16.959910913140313,Teen,0.2833333333333333,0.07294117647058825,1.98
115,27,Male,Jaipur,Apple,iOS,1.5,7.8,50.7,151,1.1,5508,3.4,2.8,392,Education,8.8,2.433333333333333,14.01526717557252,Young Adult,0.009933774834437087,0.17333333333333334,0.8450000000000001
116,56,Male,Chennai,Realme,Android,5.2,3.5,6.7,101,5.5,8684,5.8,0.5,1627,Entertainment,17.0,3.9333333333333336,5.334152334152334,Middle Aged,0.05148514851485149,0.022435897435897436,0.11166666666666666
117,15,Other,Jaipur,Nokia,Android,8.9,13.9,99.2,51,5.4,7174,0.7,1.7,1837,Education,16.7,2.6,3.9031556039173014,Teen,0.17450980392156865,0.05205992509363296,1.6533333333333333
118,19,Female,Chennai,Motorola,iOS,7.2,16.0,163.5,191,1.9,6130,4.8,1.8,1202,Gaming,15.7,2.8333333333333335,5.095594347464671,Young Adult,0.03769633507853403,0.07407407407407407,2.725
119,31,Other,Mumbai,Realme,iOS,7.5,29.2,259.3,141,4.5,1991,1.3,1.1,1936,Work,14.4,2.3000000000000003,1.02787816210635,Adult,0.05319148936170213,0.12977777777777777,4.321666666666667
120,44,Other,Chennai,Nokia,iOS,10.8,15.8,152.4,81,3.1,8153,7.3,1.6,1350,Gaming,22.8,4.0,6.034789045151739,Adult,0.13333333333333333,0.04876543209876544,2.54
121,53,Male,Hyderabad,Google Pixel,Android,1.4,28.9,265.2,179,3.9,1032,4.5,2.1,254,Entertainment,11.9,3.5,4.047058823529412,Middle Aged,0.007821229050279328,0.6880952380952381,4.42
122,46,Other,Mumbai,Samsung,iOS,5.9,38.1,144.6,186,2.1,684,4.5,1.2,1562,Social Media,13.7,2.6,0.43761996161228406,Middle Aged,0.031720430107526884,0.2152542372881356,2.4099999999999997
123,25,Other,Hyderabad,OnePlus,iOS,3.7,49.5,160.5,77,4.2,9444,1.8,0.2,1268,Entertainment,9.9,2.066666666666667,7.442080378250591,Young Adult,0.048051948051948054,0.44594594594594594,2.675
